DATE,LRUN64TTUSQ156S
1970-01-01,4.160714
1970-04-01,4.769405
1970-07-01,5.327376999999999
1970-10-01,5.895823
1971-01-01,5.978447
1971-04-01,5.987044
1971-07-01,6.141367
1971-10-01,6.0446349999999995
1972-01-01,5.851845
1972-04-01,5.756687
1972-07-01,5.706714
1972-10-01,5.368749
1973-01-01,5.028968
1973-04-01,4.994917
1973-07-01,4.912036
1973-10-01,4.835342
1974-01-01,5.142591
1974-04-01,5.2549980000000005
1974-07-01,5.731448
1974-10-01,6.686403
1975-01-01,8.367911
1975-04-01,8.906398
1975-07-01,8.590481
1975-10-01,8.384037
1976-01-01,7.850491000000001
1976-04-01,7.60561
1976-07-01,7.802396000000001
1976-10-01,7.8699330000000005
1977-01-01,7.607877
1977-04-01,7.164142
1977-07-01,6.970667
1977-10-01,6.702644
1978-01-01,6.38544
1978-04-01,6.031168
1978-07-01,6.097867
1978-10-01,5.975867
1979-01-01,5.921997
1979-04-01,5.7778849999999995
1979-07-01,5.960184
1979-10-01,6.059158
1980-01-01,6.380877
1980-04-01,7.4072119999999995
1980-07-01,7.789471000000001
1980-10-01,7.582585000000001
1981-01-01,7.523122
1981-04-01,7.519221000000001
1981-07-01,7.560267999999999
1981-10-01,8.445063000000001
1982-01-01,8.972577000000001
1982-04-01,9.630955
1982-07-01,10.11162
1982-10-01,10.91483
1983-01-01,10.55
1983-04-01,10.30286
1983-07-01,9.487997
1983-10-01,8.73865
1984-01-01,7.979197
1984-04-01,7.618325
1984-07-01,7.549098
1984-10-01,7.414833
1985-01-01,7.377424
1985-04-01,7.395278
1985-07-01,7.298964999999999
1985-10-01,7.180149
1986-01-01,7.116639
1986-04-01,7.292555
1986-07-01,7.077069
1986-10-01,6.9537070000000005
1987-01-01,6.727281
1987-04-01,6.396469000000001
1987-07-01,6.095496
1987-10-01,5.9576720000000005
1988-01-01,5.805153
1988-04-01,5.575528
1988-07-01,5.562865
1988-10-01,5.424224
1989-01-01,5.277975
1989-04-01,5.3268699999999995
1989-07-01,5.34319
1989-10-01,5.436554
1990-01-01,5.401406
1990-04-01,5.45102
1990-07-01,5.747019
1990-10-01,6.189324
1991-01-01,6.700381
1991-04-01,6.939661999999999
1991-07-01,6.926324
1991-10-01,7.218325999999999
1992-01-01,7.509549000000001
1992-04-01,7.675611
1992-07-01,7.7212559999999995
1992-10-01,7.558057000000001
1993-01-01,7.2485919999999995
1993-04-01,7.188135000000001
1993-07-01,6.908817999999999
1993-10-01,6.7652779999999995
1994-01-01,6.642860000000001
